Car Name,origin,Price,Type,city,openroad,Drive train,Engine_size,Tranmission,Weight
Subaru Legacy,foreign,22.7,Compact,23,30,FrontWheelDr,2.2,yes,1399
Dodge Stealth,american,33.1,Sporty,18,24,FrontWheelDr,3,yes,1726
Dodge Caravan,american,24.4,Van,17,21,FrontWheelDr,3,no,1681
Ford Aerostar,american,25.3,Van,15,20,FrontWheelDr,3,yes,1694
Toyota Previa,foreign,26.6,Van,18,22,FrontWheelDr,2.4,yes,1717
Subaru Justy,foreign,9.5,Small,33,37,FrontWheelDr,1.2,yes,928
Subaru Loyale,foreign,11.3,Small,25,30,FrontWheelDr,1.8,yes,1129
Plymouth Laser,american,17.4,Sporty,23,30,FrontWheelDr,1.8,yes,1197
Chevrolet Astro,american,18.6,Van,15,20,FrontWheelDr,4.3,no,1826
Mazda MPV,foreign,21.7,Van,18,24,FrontWheelDr,3,no,1694
Mercedes-Benz 190E,foreign,34.9,Compact,20,29,FrontWheelDr,2.3,yes,1324
Volvo 240,foreign,23.5,Compact,21,28,FrontWheelDr,2.3,yes,1354
Buick Roadmaster,american,24.9,Large,16,25,FrontWheelDr,5.7,no,1862
Chevrolet Caprice,american,19.6,Large,17,26,FrontWheelDr,5,no,1774
Ford Crown Victoria,american,21.7,Large,18,26,FrontWheelDr,4.6,no,1792
BMW 535i,foreign,36.2,Midsize,22,30,FrontWheelDr,3.5,yes,1651
Infiniti Q45,foreign,50.4,Midsize,17,22,FrontWheelDr,4.5,no,1814
Chevrolet Corvette,american,41.5,Sporty,17,25,FrontWheelDr,5.7,yes,1533
Ford Mustang,american,21,Sporty,22,29,FrontWheelDr,2.3,yes,1293
Mazda RX-7,foreign,32.5,Sporty,17,25,FrontWheelDr,1.3,yes,1313
Lincoln Town Car,american,37.8,Large,18,26,FrontWheelDr,4.6,no,1839
Lexus SC300,foreign,35.6,Midsize,18,23,FrontWheelDr,3,yes,1594
Mercedes-Benz 300E,foreign,80,Midsize,19,25,FrontWheelDr,3.2,no,1599
Chevrolet Camaro,american,16.8,Sporty,19,28,FrontWheelDr,3.4,yes,1470
Pontiac Firebird,american,21.4,Sporty,19,28,FrontWheelDr,3.4,yes,1470
Mercury Cougar,american,14.9,Midsize,19,26,FrontWheelDr,3.8,no,1637
Audi 90,foreign,32.3,Compact,20,26,RearWheelDr,2.8,yes,1531
Chevrolet Corsica,american,11.4,Compact,25,34,RearWheelDr,2.2,yes,1263
Dodge Spirit,american,14.7,Compact,22,27,RearWheelDr,2.5,yes,1347
Mazda 626,foreign,18.7,Compact,26,34,RearWheelDr,2.5,yes,1347
Nissan Altima,foreign,18.3,Compact,24,30,RearWheelDr,2.4,yes,1383
Saab 900,foreign,37.1,Compact,20,26,RearWheelDr,2.1,yes,1259
Buick LeSabre,american,21.7,Large,19,28,RearWheelDr,3.8,no,1574
Cadillac DeVille,american,36.3,Large,16,25,RearWheelDr,4.9,no,1642
Chrysler Imperial,american,29.5,Large,20,26,RearWheelDr,3.3,no,1619
Oldsmobile Eighty-Eight,american,21.9,Large,19,28,RearWheelDr,3.8,no,1574
Buick Century,american,17.3,Midsize,22,31,RearWheelDr,2.2,no,1306
Buick Riviera,american,26.3,Midsize,19,27,RearWheelDr,3.8,no,1585
Dodge Dynasty,american,16.4,Midsize,21,27,RearWheelDr,2.5,no,1397
Ford Taurus,american,24.8,Midsize,21,30,RearWheelDr,3,no,1508
Lexus ES300,foreign,28.4,Midsize,18,24,RearWheelDr,3,yes,1592
Mitsubishi Diamante,foreign,29.9,Midsize,18,24,RearWheelDr,3,no,1692
Nissan Maxima,foreign,22,Midsize,21,26,RearWheelDr,3,no,1451
Oldsmobile Cutlass Ciera,american,18.4,Midsize,23,31,RearWheelDr,2.2,no,1311
Toyota Camry,foreign,21.2,Midsize,22,29,RearWheelDr,2.2,yes,1374
Dodge Shadow,american,14.2,Small,23,29,RearWheelDr,2.2,yes,1211
Honda Civic,foreign,15.8,Small,42,46,RearWheelDr,1.5,yes,1066
Nissan Sentra,foreign,14.9,Small,29,33,RearWheelDr,1.6,yes,1154
Saturn SL,american,12.9,Small,28,38,RearWheelDr,1.9,yes,1132
