Date,Arctic,Antarctic
1993M01,12.926,2.548
1993M02,13.613,1.373
1993M03,13.775,2.238
1993M04,13.028,4.9
1993M05,11.415,7.885
1993M06,9.261,10.369
1993M07,6.279,12.721
1993M08,4.759,13.935
1993M09,4.577,14.704
1993M10,7.058,14.172
1993M11,9.545,11.833
1993M12,11.476,6.671
1994M01,12.875,3.372
1994M02,13.523,2.225
1994M03,13.55,3.199
1994M04,12.913,5.455
1994M05,11.658,8.208
1994M06,9.684,10.733
1994M07,6.923,13.121
1994M08,5.188,14.487
1994M09,5.13,14.613
1994M10,7.232,14.067
1994M11,9.715,11.781
1994M12,11.493,7.112
1995M01,12.785,3.73
1995M02,13.369,2.188
1995M03,13.339,3.011
1995M04,12.405,5.404
1995M05,10.902,8.189
1995M06,8.944,10.455
1995M07,6.156,12.529
1995M08,4.693,14.203
1995M09,4.428,14.462
1995M10,5.991,13.573
1995M11,9.032,11.487
1995M12,11.088,7.191
1996M01,12.152,3.548
1996M02,12.979,1.768
1996M03,12.904,2.649
1996M04,12.322,5.365
1996M05,11.284,8.655
1996M06,9.834,11.09
1996M07,7.438,12.887
1996M08,5.733,13.895
1996M09,5.623,14.543
1996M10,7.544,13.939
1996M11,8.765,11.24
1996M12,11.031,6.24
1997M01,12.395,2.769
1997M02,13.438,1.717
1997M03,13.303,2.297
1997M04,12.574,4.835
1997M05,11.236,7.91
1997M06,9.197,10.215
1997M07,6.501,12.749
1997M08,5.089,14.086
1997M09,4.892,14.589
1997M10,6.467,14.121
1997M11,9.071,11.592
1997M12,11.242,6.991
1998M01,12.806,3.039
1998M02,13.768,1.868
1998M03,13.574,2.705
1998M04,12.852,5.12
1998M05,11.398,7.911
1998M06,9.184,10.339
1998M07,6.449,12.657
1998M08,4.691,14.06
1998M09,4.297,14.842
1998M10,6.706,14.541
1998M11,8.884,11.879
1998M12,10.91,6.802
1999M01,12.602,3.108
1999M02,13.451,1.774
1999M03,13.54,2.576
1999M04,13.15,5.13
1999M05,11.665,8.073
1999M06,9.252,10.827
1999M07,6.554,13.063
1999M08,4.753,14.239
1999M09,4.292,14.616
1999M10,6.835,14.235
1999M11,9.256,11.511
1999M12,10.994,6.803
2000M01,12.304,2.921
2000M02,13.088,1.719
2000M03,13.167,2.665
2000M04,12.597,5.306
2000M05,11.244,8.562
2000M06,9.052,11.037
