Month,Decade,Tmax(C),Tmin(C)
01,1966-1975,22.2,17.1
01,1966-1975,23.9,17.1
01,1966-1975,23.5,16.2
01,1966-1975,24.4,17.8
01,1966-1975,23.4,18.6
01,1966-1975,23.4,16.3
01,1966-1975,23.7,17.3
01,1966-1975,22.1,15.9
01,1966-1975,19.7,14.4
01,1966-1975,18,14.4
01,1966-1975,19.3,15.6
01,1966-1975,20.5,15.1
01,1966-1975,18.9,14.9
01,1966-1975,18.7,15.1
01,1966-1975,22.1,12.9
01,1966-1975,24.6,14
01,1966-1975,22.6,12.7
01,1966-1975,25.9,17
01,1966-1975,25.8,18.9
01,1966-1975,23.3,19.6
01,1966-1975,21.9,19.4
01,1966-1975,22.8,17.4
01,1966-1975,23.4,17.1
01,1966-1975,21.6,15.6
01,1966-1975,20,14.5
01,1966-1975,20.5,15.6
01,1966-1975,23.6,14.2
01,1966-1975,22.2,15.6
01,1966-1975,25.2,16.7
01,1966-1975,23.1,16.7
02,1966-1975,23.8,18.3
02,1966-1975,26.1,17.1
02,1966-1975,20.9,13.9
02,1966-1975,23,16.7
02,1966-1975,23.1,14.4
02,1966-1975,24.1,13.7
02,1966-1975,26.4,15.9
02,1966-1975,25.3,14.7
02,1966-1975,25.3,16.8
02,1966-1975,23.8,16.2
02,1966-1975,24.1,16.6
02,1966-1975,25.4,18.3
02,1966-1975,23.9,18
02,1966-1975,25.3,15.8
02,1966-1975,27.6,17.1
02,1966-1975,25.4,17.8
02,1966-1975,24.6,18.9
02,1966-1975,22.2,18
02,1966-1975,25.8,20.3
02,1966-1975,26.9,21.3
02,1966-1975,25.7,21.7
02,1966-1975,26,19.1
02,1966-1975,22.7,19.9
02,1966-1975,24.4,19.2
02,1966-1975,24.4,20.7
02,1966-1975,24.7,21.4
02,1966-1975,25.6,18.7
02,1966-1975,21.7,17.9
03,1966-1975,22,17.6
03,1966-1975,25.1,17.7
03,1966-1975,25.4,18.4
03,1966-1975,22.7,13.4
03,1966-1975,21.4,13.4
03,1966-1975,21.7,13.2
03,1966-1975,22.6,14.3
03,1966-1975,21,16.2
